dogid,BreedGroup,Sex,WeightKG,WeightKGCat,AgeAtEvalYRS,AgeAtEvalYrsCat,isneutered,neuterageYrs,NeuterAgeCat,neuteredwhy,whereacquired,AgeAcquiredYRS,AgeAcquiredYRSCat,HealthProblems,roles,firstowned,ownedamount,aschild,otherdogs,otherdogsage,Fear43,Fear47,NonSocFear,TouchSen
4070,Gundogs,0,27.00,1.00,0.58,1.00,0,0.00,.00,3,1,0.13,.00,0,3,0,1,1,1,1,1,0,0.00,0.50
4071,Gundogs,0,28.35,1.00,4.02,2.00,1,0.42,.00,0,1,0.15,.00,0,3,0,1,1,1,3,0,0,0.00,0.00
4072,Gundogs,0,29.25,1.00,6.04,2.00,1,0.42,.00,0,1,0.15,.00,0,3,0,1,1,1,6,0,1,0.67,0.00
4073,Gundogs,0,26.55,1.00,2.00,1.00,1,0.50,.00,0,1,0.17,.00,0,2,0,1,0,1,1,3,2,0.83,1.50
4074,Mixed Breed/Unknown,1,27.00,1.00,6.00,2.00,1,0.92,1.00,7,5,1.00,1.00,0,2,0,1,1,1,3,1,1,0.33,0.50
4075,Mixed Breed/Unknown,0,27.00,1.00,1.33,1.00,1,0.25,.00,7,5,1.00,1.00,0,2,0,2,1,1,1,0,0,0.33,0.00
4076,Mixed Breed/Unknown,1,27.00,1.00,5.00,2.00,1,0.23,.00,7,5,0.15,.00,0,2,0,2,1,1,3,0,0,0.00,0.00
4077,Working,0,20.25,.00,8.02,2.00,1,5.00,3.00,7,5,5.00,2.00,1,2,1,4,1,1,3,0,2,1.33,1.00
4078,Gundogs,0,42.75,1.00,13.04,2.00,1,6.00,3.00,7,5,6.00,2.00,0,2,0,1,0,1,6,0,1,1.67,0.25
4079,Mixed Breed/Unknown,1,27.00,1.00,4.00,2.00,1,0.23,.00,7,5,2.00,1.00,0,2,0,1,0,1,3,0,1,1.67,0.00
4080,Mixed Breed/Unknown,0,27.00,1.00,2.50,1.00,1,2.00,3.00,7,5,2.00,1.00,0,2,0,1,0,1,1,0,1,1.67,0.00
